route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
TB6,A,6,ПК СПАРТАК - Ж.К. ЛЮЛИН-3 - ПК СПАРТАК,,11,,27AAE1,FFFFFF,,,
A60,A,310,Ж.К. ЛЮЛИН-5 - ПЛ. СТОЧНА ГАРА - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
TB44,A,6TM,Пл. Македония - Ж.К.ИВАН ВАЗОВ - Пл. Македония,,11,,27AAE1,FFFFFF,,,
A4,A,11,УЛ. ДОБРОТИЧ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - УЛ. ДОБРОТИЧ,,3,,BE1E2D,FFFFFF,,,
TM34,A,18,ПЛ. МАКЕДОНИЯ - ПЛ. ЖУРНАЛИСТ - ПЛ. МАКЕДОНИЯ,,0,,F7941D,FFFFFF,,,
A257,A,49A,МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА,,3,,BE1E2D,FFFFFF,,,
A208,A,11Tm,КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО,,3,,BE1E2D,FFFFFF,,,
TM24,A,10,Метростанция К. Величков - ПЛ. ЖУРНАЛИСТ - Метростанция К. Величков,,0,,F7941D,FFFFFF,,,
A91,A,604,УМБАЛСМ ПИРОГОВ - ГАРА ИСКЪР - УМБАЛСМ ПИРОГОВ,,3,,BE1E2D,FFFFFF,,,
TM49,A,6A,Ж.К. ОБЕЛЯ-2 - ТРИЪГЪЛНИКА - Ж.К. ОБЕЛЯ-2,,0,,F7941D,FFFFFF,,,
M2,A,M2,Бизнес парк - Витоша - Бизнес парк,,1,,1C75BC,FFFFFF,,,
A243,A,Y2,Ж.К. ЛЮЛИН-5 - 18 СУ УИЛЯМ ГЛАДСТОН - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
A262,A,46,АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
M3,A,M3,Хаджи Димитър - Горна баня - Хаджи Димитър,,1,,39B54A,FFFFFF,,,
TM30,A,7,МЕТРОСТАНЦИЯ ХАН КУБРАТ - Площад Възраждане - МЕТРОСТАНЦИЯ ХАН КУБРАТ,,0,,F7941D,FFFFFF,,,
A215,A,110,Ж.К. МЛАДОСТ-1 - Ж.К. БЪКСТОН - Ж.К. МЛАДОСТ-1,,3,,BE1E2D,FFFFFF,,,
A40,A,20,ПЛ. ЛЪВОВ МОСТ - СЕЛО ЛОКОРСКО - ПЛ. ЛЪВОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
TM51,A,4,Кв. Орландовци - ПЛ. МАКЕДОНИЯ - Кв. Орландовци,,0,,F7941D,FFFFFF,,,
